Name,Loan Amount,Annual Income,Credit Score,Employment Length,Loan Term,Debt-to-Income Ratio (DTI),Home Ownership,Purpose of Loan,Interest Rate
Person_54,1427523,1176006.0,620.0,6.7,38.0,30.86,Rent,Car,7.97
Person_55,605839,1074168.0,619.0,6.2,43.0,35.71,Own,Car,8.86
Person_56,323538,467614.0,556.0,5.3,42.0,41.58,Rent,Car,9.58
Person_57,381236,1394601.0,613.0,8.8,44.0,33.36,Own,Home,8.76
Person_58,578178,2008516.0,684.0,9.8,31.0,28.67,Rent,Education,7.09
Person_59,615894,1156011.0,613.0,8.5,40.0,36.33,Mortgage,Business,8.6
Person_60,539492,992955.0,609.0,5.4,43.0,31.01,Mortgage,Education,9.35
Person_61,1355416,1466571.0,627.0,9.6,38.0,32.05,Rent,Business,8.56
Person_62,523254,1961126.0,682.0,12.0,35.0,25.8,Rent,Car,7.61
Person_63,399457,493313.0,518.0,6.0,47.0,38.11,Rent,Personal,10.76
Person_64,715987,1818505.0,648.0,13.2,32.0,29.22,Rent,Home,8.23
Person_65,1369512,354062.0,543.0,2.5,47.0,37.35,Own,Business,10.34
Person_66,1338507,1802525.0,697.0,10.9,30.0,24.73,Mortgage,Car,7.1
Person_67,1338205,1917355.0,680.0,11.1,36.0,28.51,Own,Personal,7.71
Person_68,1303617,1054032.0,616.0,8.0,41.0,35.71,Mortgage,Car,8.75
Person_69,748361,1876483.0,685.0,11.6,36.0,27.87,Rent,Home,7.97
Person_70,1830488,2854525.0,762.0,15.4,30.0,17.34,Mortgage,Personal,5.99
Person_71,1515689,906014.0,588.0,6.2,41.0,37.51,Rent,Business,8.93
Person_72,118148,1647922.0,686.0,8.8,29.0,30.94,Rent,Business,7.21
Person_73,1875665,333114.0,524.0,5.3,49.0,41.17,Own,Business,10.72
Person_74,698531,691638.0,591.0,6.4,45.0,35.53,Mortgage,Business,9.22
Person_75,1350571,2854917.0,722.0,17.0,25.0,18.25,Own,Personal,6.72
Person_76,956606,2087717.0,715.0,11.9,30.0,27.44,Own,Home,6.9
Person_77,728843,884076.0,581.0,5.9,42.0,38.87,Own,Personal,9.02
Person_78,622843,1588857.0,643.0,8.6,45.0,29.44,Own,Business,8.53
Person_79,306508,339133.0,527.0,4.6,51.0,40.44,Mortgage,Home,10.39
Person_80,853591,545165.0,506.0,3.8,50.0,38.83,Mortgage,Education,10.8
Person_81,946942,1662597.0,652.0,12.6,36.0,30.0,Own,Education,7.78
Person_82,156530,470001.0,545.0,3.1,43.0,38.64,Mortgage,Personal,10.41
Person_83,654365,1915556.0,711.0,11.8,27.0,21.47,Rent,Business,6.66
Person_84,1920928,1781041.0,658.0,12.8,36.0,30.81,Mortgage,Education,7.64
Person_85,510337,623327.0,537.0,6.2,47.0,42.06,Own,Education,10.2
Person_86,1823415,1599298.0,640.0,10.2,35.0,28.78,Rent,Car,7.67
Person_87,855889,1862805.0,694.0,10.0,30.0,25.58,Rent,Car,6.83
Person_88,1558349,982409.0,595.0,5.4,40.0,35.08,Rent,Home,8.75
Person_89,258261,1917826.0,671.0,12.4,34.0,26.86,Rent,Home,7.49
Person_90,1863045,2641724.0,764.0,16.7,23.0,22.94,Rent,Business,5.85
Person_91,1439673,850332.0,578.0,6.0,44.0,36.61,Own,Education,9.66
Person_92,1413715,913391.0,601.0,5.4,40.0,34.37,Own,Personal,9.38
Person_93,1270405,1761232.0,652.0,7.7,36.0,25.96,Rent,Personal,8.27
Person_94,321836,705350.0,555.0,4.6,48.0,39.49,Own,Car,9.81
Person_95,1537550,537164.0,537.0,4.9,47.0,40.42,Mortgage,Home,10.34
Person_96,1039913,2963779.0,756.0,18.3,27.0,20.27,Own,Business,5.8
Person_97,252283,2434967.0,739.0,14.7,24.0,20.81,Mortgage,Car,5.52
Person_98,246769,2220880.0,717.0,13.3,27.0,28.28,Own,Car,6.25
Person_99,611353,2924915.0,782.0,15.7,20.0,15.0,Mortgage,Business,5.23
Person_100,1321741,2616338.0,746.0,14.0,25.0,22.59,Mortgage,Business,5.96
Person_101,1722163,249476.0,488.0,5.5,53.0,37.9,Rent,Education,11.5
Person_102,1096797,2587848.0,740.0,14.8,29.0,19.84,Own,Business,6.29
Person_103,1000110,1687564.0,652.0,7.8,34.0,32.36,Rent,Business,7.43
Person_104,1634398,2209810.0,695.0,12.0,34.0,26.36,Mortgage,Car,7.24
Person_105,537879,2981460.0,784.0,15.4,19.0,16.91,Own,Car,5.29
Person_106,614685,1455959.0,644.0,8.6,40.0,30.21,Own,Personal,8.31
Person_107,832038,269093.0,556.0,4.5,44.0,41.75,Rent,Personal,10.26
Person_108,1452107,2313687.0,724.0,13.2,31.0,24.83,Own,Personal,6.42
Person_109,1361736,2625786.0,757.0,14.7,28.0,23.59,Own,Business,6.17
Person_110,1057293,1819426.0,670.0,12.7,28.0,27.18,Own,Education,7.31
Person_111,629879,1629762.0,615.0,9.3,40.0,26.51,Mortgage,Car,8.44
Person_112,1319460,456323.0,536.0,7.0,50.0,40.24,Rent,Home,10.48
Person_113,73247,2124088.0,703.0,11.6,33.0,24.53,Mortgage,Education,6.79
Person_114,1122876,2556068.0,794.0,14.6,20.0,19.09,Rent,Home,5.1
Person_115,1565857,2338421.0,719.0,13.1,32.0,24.18,Mortgage,Business,7.16
Person_116,657086,1329250.0,629.0,8.9,40.0,31.92,Mortgage,Home,8.55
Person_117,583556,1028894.0,593.0,7.9,44.0,35.57,Mortgage,Personal,9.24
Person_118,1447527,1120631.0,579.0,8.3,43.0,32.37,Mortgage,Car,9.2
Person_119,1372905,485291.0,562.0,3.9,41.0,40.65,Rent,Education,9.3
Person_120,1817640,2735896.0,778.0,13.9,25.0,17.5,Own,Personal,5.34
Person_121,792139,1849959.0,691.0,14.3,36.0,26.17,Rent,Car,7.48
Person_122,482315,2388077.0,710.0,13.1,29.0,22.67,Own,Personal,6.66
Person_123,976075,790669.0,598.0,7.1,40.0,40.51,Rent,Education,9.2
Person_124,566588,1490906.0,611.0,7.5,40.0,32.51,Rent,Business,9.23
Person_125,1335160,1262307.0,628.0,8.1,44.0,35.08,Rent,Home,8.87
Person_126,1660908,1635367.0,697.0,10.0,34.0,32.52,Rent,Business,7.15
Person_127,1936222,1740450.0,644.0,11.2,37.0,35.98,Mortgage,Home,8.17
Person_128,1028732,1889576.0,667.0,7.9,32.0,27.56,Rent,Home,7.18
Person_129,1475472,465976.0,540.0,4.9,42.0,42.68,Rent,Education,10.09
Person_130,98984,1805196.0,660.0,9.5,34.0,30.24,Own,Education,7.7
Person_131,352918,212467.0,481.0,4.0,49.0,44.03,Mortgage,Business,11.22
Person_132,314712,1289601.0,621.0,7.3,40.0,36.24,Mortgage,Car,8.68
Person_133,1218727,1392755.0,608.0,8.0,46.0,30.96,Rent,Car,9.43
Person_134,1554384,1245851.0,624.0,8.0,38.0,32.07,Rent,Business,8.98
Person_135,183767,277994.0,500.0,2.5,52.0,42.11,Mortgage,Home,11.16
Person_136,698663,294202.0,551.0,3.3,49.0,40.97,Mortgage,Education,10.26
Person_137,1802126,2864921.0,760.0,14.4,24.0,19.65,Rent,Business,5.51
Person_138,186330,1847982.0,668.0,8.9,35.0,30.97,Rent,Car,8.06
Person_139,530754,1634730.0,670.0,11.4,32.0,28.74,Rent,Home,7.12
Person_140,1400224,644854.0,531.0,3.9,52.0,37.68,Own,Car,10.73
Person_141,1787095,360185.0,532.0,4.0,49.0,41.11,Mortgage,Home,10.59
Person_142,63986,2381515.0,754.0,14.6,24.0,22.75,Own,Car,5.63
Person_143,636146,2158615.0,673.0,11.8,36.0,21.32,Mortgage,Personal,7.46
Person_144,1227888,2622340.0,755.0,13.7,25.0,19.96,Mortgage,Home,5.49
Person_145,62666,2508179.0,745.0,14.5,22.0,23.48,Mortgage,Home,5.7
Person_146,1399380,1178534.0,624.0,9.4,38.0,36.53,Mortgage,Home,8.06
Person_147,184633,473958.0,514.0,3.3,53.0,37.46,Mortgage,Personal,11.04
Person_148,338998,2569320.0,720.0,14.3,28.0,19.26,Rent,Personal,6.92
Person_149,900937,1095668.0,610.0,5.5,31.0,34.43,Own,Car,8.17
Person_150,678776,2879276.0,783.0,15.5,23.0,14.74,Own,Education,5.81
Person_151,1806187,1518155.0,647.0,9.7,36.0,29.82,Mortgage,Car,8.06
Person_152,1383382,1184588.0,616.0,7.0,42.0,30.13,Own,Home,8.79
Person_153,1893400,455095.0,523.0,4.1,44.0,42.67,Own,Home,10.18
Person_154,1129111,681632.0,564.0,4.0,48.0,36.43,Rent,Car,10.18
Person_155,1046107,1509752.0,647.0,9.7,30.0,34.08,Mortgage,Business,8.12
Person_156,1474289,2546869.0,730.0,15.7,30.0,24.0,Rent,Education,6.7
Person_157,888688,1281516.0,656.0,7.1,36.0,31.47,Own,Personal,8.25
Person_158,401279,729954.0,573.0,5.2,51.0,35.41,Mortgage,Education,9.98
Person_159,963910,1109834.0,578.0,8.4,38.0,33.86,Mortgage,Business,9.3
Person_160,1920230,2503869.0,753.0,15.7,25.0,21.94,Mortgage,Car,5.82
Person_161,1700237,1611910.0,632.0,8.2,32.0,30.58,Mortgage,Car,8.19
Person_162,1746548,1611188.0,667.0,9.8,34.0,28.34,Mortgage,Home,7.92
Person_163,539570,226505.0,537.0,4.0,44.0,43.41,Mortgage,Car,10.43
Person_164,1555127,2744755.0,747.0,15.2,33.0,20.59,Rent,Business,6.31
Person_165,1371685,1029601.0,613.0,4.3,41.0,34.27,Rent,Car,9.1
Person_166,74538,1452930.0,644.0,9.9,34.0,29.85,Own,Car,7.61
Person_167,944498,1850375.0,691.0,13.1,34.0,27.45,Mortgage,Business,7.55
Person_168,251664,2075530.0,735.0,12.4,26.0,24.23,Mortgage,Personal,6.53
Person_169,541234,412204.0,527.0,3.2,50.0,40.42,Rent,Education,10.42
Person_170,1998260,2546988.0,729.0,13.8,30.0,21.94,Own,Car,6.48
Person_171,189182,728168.0,546.0,8.2,48.0,38.09,Own,Education,10.11
Person_172,1571101,2733822.0,746.0,16.4,24.0,23.68,Mortgage,Education,6.2
Person_173,1256914,1173215.0,606.0,8.8,43.0,33.44,Own,Home,8.79
Person_174,234064,767827.0,574.0,6.6,47.0,39.23,Own,Personal,9.7
Person_175,264020,2537208.0,749.0,13.5,26.0,22.32,Mortgage,Education,5.99
Person_176,1089577,1467633.0,653.0,9.1,37.0,30.67,Mortgage,Home,7.8
Person_177,673094,707800.0,562.0,5.8,46.0,37.5,Mortgage,Business,9.88
Person_178,947421,1353419.0,655.0,9.5,36.0,32.02,Rent,Business,8.71
Person_179,665270,2226182.0,707.0,14.8,29.0,25.12,Mortgage,Business,6.62
Person_180,1744490,643942.0,610.0,7.0,39.0,36.38,Own,Business,8.76
Person_181,1217752,248784.0,528.0,1.9,47.0,38.8,Rent,Business,10.3
Person_182,967710,2410186.0,713.0,14.1,31.0,24.27,Own,Home,6.52
Person_183,1316702,2209413.0,689.0,13.8,29.0,26.5,Rent,Personal,7.44
Person_184,268969,2731196.0,772.0,16.0,24.0,21.66,Mortgage,Personal,5.7
Person_185,172409,1973462.0,683.0,11.0,31.0,27.06,Own,Home,7.32
Person_186,1646283,253997.0,531.0,7.4,48.0,43.22,Rent,Home,10.77
Person_187,303618,2290053.0,728.0,11.6,27.0,25.43,Own,Car,6.63
Person_188,819598,381413.0,528.0,3.0,48.0,42.15,Mortgage,Education,10.47
Person_189,1148591,1660865.0,639.0,10.6,36.0,27.75,Rent,Business,7.76
Person_190,822838,1613119.0,621.0,12.7,41.0,27.69,Own,Education,8.84
Person_191,1220672,1000981.0,582.0,6.2,44.0,34.42,Rent,Car,9.46
Person_192,1729923,2249875.0,732.0,12.7,29.0,24.32,Mortgage,Personal,6.32
Person_193,1283916,940686.0,589.0,8.3,47.0,35.24,Rent,Business,9.12
Person_194,1209263,1717307.0,637.0,10.5,39.0,25.22,Rent,Personal,8.5
Person_195,924371,1662108.0,660.0,9.9,38.0,32.9,Own,Home,7.9
Person_196,1509933,2454407.0,743.0,14.7,29.0,22.03,Rent,Education,6.02
Person_197,785716,1080292.0,581.0,7.9,45.0,34.85,Mortgage,Personal,9.06
Person_198,1204454,748912.0,569.0,7.3,47.0,39.87,Own,Car,10.0
Person_199,1825846,1727573.0,664.0,12.2,33.0,24.2,Rent,Personal,7.89
Person_200,1023548,770993.0,545.0,6.5,48.0,36.17,Mortgage,Business,10.24
Person_201,1296862,1862190.0,683.0,11.6,29.0,26.94,Mortgage,Business,6.52
Person_202,823290,1046822.0,606.0,7.7,42.0,34.13,Rent,Education,8.89
Person_203,1873260,2365521.0,748.0,14.2,24.0,23.0,Rent,Home,5.91
Person_204,1263475,1450469.0,656.0,9.4,38.0,34.19,Own,Business,7.68
Person_205,1423343,1520309.0,615.0,9.6,41.0,32.03,Mortgage,Car,8.96
Person_206,1049238,1885876.0,660.0,12.8,38.0,29.43,Mortgage,Education,8.01
Person_207,911882,2108189.0,711.0,14.3,31.0,25.68,Mortgage,Business,6.88
Person_208,1978434,900146.0,591.0,4.9,44.0,33.27,Rent,Car,9.53
Person_209,429989,2945151.0,794.0,16.3,21.0,14.16,Rent,Personal,4.73
Person_210,465515,2373577.0,804.0,12.7,22.0,20.22,Rent,Car,4.69
Person_211,93585,2196366.0,721.0,12.4,34.0,25.54,Own,Education,6.56
Person_212,1469945,2793449.0,791.0,16.1,16.0,19.7,Mortgage,Business,4.9
Person_213,114044,1788858.0,688.0,11.7,35.0,27.93,Mortgage,Home,7.44
Person_214,1010061,1218543.0,625.0,8.1,38.0,32.57,Rent,Home,8.35
Person_215,492296,311915.0,516.0,1.6,51.0,45.2,Own,Car,11.15
Person_216,159556,585105.0,565.0,4.1,38.0,37.16,Own,Car,9.48
Person_217,1625557,2780566.0,752.0,16.6,30.0,21.6,Own,Car,6.54
Person_218,1980267,1353248.0,621.0,5.4,42.0,32.14,Own,Business,9.21
Person_219,817595,518821.0,533.0,6.5,46.0,39.26,Own,Home,10.38
Person_220,250235,232930.0,516.0,4.3,51.0,44.22,Rent,Home,11.11
Person_221,75939,1321889.0,669.0,10.4,33.0,35.33,Rent,Education,7.49
Person_222,1251482,949211.0,548.0,6.7,44.0,35.17,Rent,Education,10.4
Person_223,592335,2193384.0,723.0,10.2,29.0,26.44,Mortgage,Personal,6.45
Person_224,1386825,2530063.0,710.0,14.9,29.0,22.65,Own,Business,6.37
Person_225,125766,1344634.0,615.0,10.4,33.0,32.23,Own,Car,7.66
Person_226,458923,2385028.0,750.0,14.8,26.0,23.59,Mortgage,Education,5.86
Person_227,1513768,809654.0,573.0,5.5,44.0,35.48,Own,Personal,9.67
Person_228,618550,737691.0,543.0,6.1,51.0,36.87,Own,Personal,10.61
Person_229,437261,972838.0,574.0,6.4,43.0,34.28,Own,Home,9.59
Person_230,860208,461420.0,551.0,3.7,49.0,41.68,Own,Business,10.35
Person_231,735440,677843.0,544.0,6.9,45.0,37.81,Own,Business,10.05
Person_232,1751240,535639.0,549.0,3.6,50.0,36.64,Rent,Car,9.99
Person_233,1034346,2460156.0,736.0,12.9,28.0,21.08,Own,Business,6.54
Person_234,1553165,558234.0,534.0,3.8,42.0,32.64,Rent,Car,9.66
Person_235,187848,1547421.0,688.0,7.9,32.0,29.46,Rent,Business,7.23
Person_236,667075,596601.0,563.0,5.5,42.0,38.78,Rent,Home,9.67
Person_237,177948,2025260.0,652.0,13.4,35.0,26.03,Rent,Personal,8.37
Person_238,1677880,2265306.0,720.0,12.9,30.0,28.18,Mortgage,Business,6.4
Person_239,452690,781529.0,556.0,4.3,39.0,38.25,Rent,Business,10.1
Person_240,549046,2962879.0,802.0,17.4,20.0,19.22,Mortgage,Home,5.13
Person_241,501269,2362182.0,710.0,15.7,25.0,20.09,Mortgage,Education,6.32
Person_242,71959,1412980.0,629.0,8.3,38.0,30.89,Rent,Car,8.39
Person_243,1759466,1455973.0,646.0,8.7,31.0,30.27,Own,Education,7.95
Person_244,1848792,2776854.0,784.0,16.1,25.0,18.2,Own,Personal,5.52
Person_245,1888756,305185.0,498.0,6.0,54.0,39.64,Rent,Education,11.34
Person_246,278576,255182.0,510.0,3.1,46.0,38.06,Rent,Personal,10.82
Person_247,1065602,1877465.0,668.0,9.6,33.0,25.03,Mortgage,Car,7.31
Person_248,1636409,903023.0,568.0,7.6,47.0,37.79,Mortgage,Home,10.0
Person_249,964091,1052318.0,631.0,8.5,40.0,34.46,Own,Personal,8.37
Person_250,215838,2643144.0,762.0,14.9,19.0,19.92,Mortgage,Car,5.21
Person_251,1434250,2072508.0,672.0,11.5,28.0,25.88,Mortgage,Home,7.09
Person_252,1978565,808434.0,590.0,7.6,46.0,39.2,Rent,Education,9.37
Person_253,111087,1206630.0,653.0,8.8,32.0,33.42,Mortgage,Education,7.54
Person_254,1063343,2785347.0,788.0,14.6,24.0,20.78,Mortgage,Personal,5.7
Person_255,1691704,772285.0,538.0,6.2,47.0,35.49,Mortgage,Business,10.04
Person_256,168451,344375.0,516.0,2.5,47.0,39.66,Own,Business,10.77
Person_257,1546176,1719644.0,687.0,11.4,32.0,29.66,Rent,Home,7.28
Person_258,1936013,235187.0,500.0,3.3,52.0,45.63,Own,Education,10.86
Person_259,489792,1189280.0,618.0,7.5,33.0,36.42,Rent,Car,7.98
Person_260,89353,857253.0,592.0,6.5,41.0,37.61,Rent,Home,9.26
Person_261,243075,1917689.0,663.0,11.5,31.0,27.54,Mortgage,Personal,7.5
Person_262,1312859,1718560.0,661.0,11.7,33.0,31.77,Own,Personal,7.81
Person_263,1413453,2094420.0,634.0,13.0,40.0,27.29,Own,Home,8.29
Person_264,115318,741797.0,544.0,5.8,50.0,32.86,Mortgage,Car,10.26
Person_265,815313,268653.0,513.0,4.8,53.0,39.45,Own,Education,11.29
Person_266,1581266,892289.0,555.0,7.2,46.0,36.82,Rent,Education,9.8
Person_267,466880,2563338.0,778.0,14.0,24.0,18.06,Rent,Car,5.21
Person_268,641460,1442222.0,606.0,9.1,36.0,29.57,Rent,Education,8.41
Person_269,790976,1996218.0,681.0,11.7,33.0,25.15,Mortgage,Business,7.31
Person_270,831239,2584318.0,750.0,15.2,23.0,20.94,Own,Business,6.05
Person_271,1191840,2004898.0,719.0,11.4,26.0,25.9,Rent,Car,6.43
Person_272,820746,752226.0,537.0,5.6,48.0,36.78,Mortgage,Business,10.45
Person_273,863168,1104603.0,624.0,10.2,36.0,35.95,Rent,Home,8.48
Person_274,275281,460710.0,537.0,5.9,42.0,39.36,Rent,Education,9.93
Person_275,1070545,1480896.0,619.0,8.5,38.0,30.26,Own,Home,8.74
Person_276,1735723,2240403.0,723.0,13.7,31.0,21.74,Mortgage,Car,6.44
Person_277,948613,1653953.0,659.0,10.4,39.0,31.58,Rent,Business,7.84
Person_278,1492646,1138193.0,592.0,8.3,41.0,32.66,Rent,Home,9.02
Person_279,1450804,1605419.0,652.0,10.2,36.0,27.77,Mortgage,Home,7.76
Person_280,1530415,1743103.0,657.0,12.2,34.0,29.18,Mortgage,Personal,7.91
Person_281,319536,1978244.0,690.0,12.2,27.0,25.18,Own,Home,7.11
Person_282,367824,788033.0,583.0,6.1,43.0,35.99,Rent,Business,9.9
Person_283,1356002,1380859.0,660.0,10.3,35.0,32.41,Own,Education,8.03
Person_284,227789,593445.0,525.0,5.6,50.0,38.08,Rent,Education,10.73
Person_285,1611729,2738910.0,806.0,15.5,20.0,24.73,Own,Education,4.73
Person_286,792452,2180425.0,669.0,13.1,31.0,24.81,Rent,Business,7.01
Person_287,887291,756107.0,563.0,6.0,42.0,38.56,Mortgage,Education,9.54
Person_288,175657,2344931.0,736.0,13.5,27.0,19.64,Own,Education,6.04
Person_289,1333743,2887024.0,783.0,15.3,19.0,17.1,Mortgage,Car,5.17
Person_290,731669,1661742.0,644.0,9.4,39.0,27.28,Rent,Car,8.12
Person_291,1579247,2674370.0,753.0,13.8,25.0,18.76,Mortgage,Personal,6.08
Person_292,1817670,1609993.0,641.0,8.3,42.0,30.74,Own,Personal,8.26
Person_293,1169043,2278937.0,706.0,12.1,31.0,26.17,Own,Home,7.2
Person_294,1282310,2442516.0,751.0,13.7,24.0,23.37,Mortgage,Home,5.83
Person_295,1721370,727340.0,571.0,6.1,43.0,37.12,Rent,Home,9.71
Person_296,159751,1555097.0,632.0,9.5,37.0,29.12,Own,Personal,8.48
Person_297,1479626,2255397.0,733.0,10.1,29.0,26.53,Rent,Education,6.36
Person_298,861774,1447486.0,641.0,11.3,39.0,35.46,Own,Home,8.57
Person_299,1791093,2627115.0,768.0,16.1,28.0,21.35,Rent,Education,5.8
Person_300,511079,2148697.0,717.0,13.1,28.0,27.11,Rent,Education,6.22
Person_301,418452,1225607.0,596.0,10.6,41.0,33.93,Mortgage,Personal,9.07
Person_302,156081,1395268.0,619.0,7.8,40.0,33.28,Rent,Car,8.64
Person_303,1033237,1279037.0,633.0,10.9,44.0,30.45,Own,Car,8.99
Person_304,1711909,1215930.0,624.0,7.0,40.0,32.35,Mortgage,Business,8.43
Person_305,608986,1055695.0,596.0,7.8,41.0,35.51,Own,Car,8.83
Person_306,160078,312036.0,525.0,2.4,50.0,43.6,Mortgage,Home,10.72
Person_307,1965631,388674.0,555.0,4.4,43.0,38.88,Mortgage,Personal,10.1
Person_308,72671,2584819.0,736.0,15.1,33.0,17.38,Rent,Education,6.2
Person_309,1516976,1089694.0,610.0,7.4,41.0,33.43,Rent,Personal,8.75
Person_310,1454104,790348.0,566.0,7.1,47.0,39.04,Own,Business,10.02
Person_311,1709066,2960911.0,781.0,16.5,22.0,15.01,Own,Business,5.05
Person_312,101663,1571446.0,669.0,9.2,28.0,27.89,Rent,Business,7.5
Person_313,1114284,1109121.0,618.0,7.0,38.0,34.57,Own,Education,8.51
Person_314,1976914,2340314.0,740.0,14.5,29.0,23.33,Own,Business,6.48
Person_315,361955,473497.0,564.0,3.9,43.0,40.96,Rent,Business,9.85
Person_316,1232459,2409465.0,731.0,14.9,24.0,20.51,Mortgage,Business,6.01
Person_317,1416970,2325629.0,736.0,14.9,25.0,23.04,Rent,Education,5.94
Person_318,162547,1928506.0,676.0,9.4,38.0,29.53,Own,Business,8.02
Person_319,960681,2383525.0,734.0,15.1,32.0,20.81,Mortgage,Home,6.59
Person_320,1657618,893464.0,577.0,9.3,45.0,39.08,Rent,Personal,9.75
Person_321,1849678,918730.0,584.0,7.1,41.0,33.78,Mortgage,Business,9.36
Person_322,1860578,1777415.0,680.0,11.6,34.0,30.15,Own,Business,7.84
Person_323,192483,268359.0,502.0,5.1,50.0,40.81,Mortgage,Personal,10.73
Person_324,708271,673919.0,600.0,5.4,43.0,35.75,Own,Business,9.26
Person_325,264835,1558356.0,626.0,10.0,39.0,29.36,Rent,Business,8.37
Person_326,451896,1715719.0,637.0,8.9,36.0,30.08,Mortgage,Home,8.19
Person_327,134896,1016117.0,615.0,7.5,42.0,35.05,Mortgage,Car,8.93
Person_328,527095,1037566.0,610.0,8.0,41.0,37.12,Mortgage,Education,8.78
Person_329,121295,2648212.0,767.0,15.5,23.0,23.77,Own,Education,5.47
Person_330,793974,1356543.0,638.0,10.2,32.0,29.74,Rent,Personal,8.09
Person_331,937121,294455.0,520.0,3.0,44.0,38.82,Rent,Home,10.08
Person_332,1371831,1709639.0,643.0,9.8,42.0,26.43,Own,Education,8.37
